Month,Channel,Candidate,Reference,Seconds,,
7,FOX,Kamala Harris,The Vice President,488,"channel=""FOX"" AND text=""The Vice President""",2024-07-01
8,FOX,Kamala Harris,The Vice President,1102.822,"channel=""FOX"" AND text=""The Vice President""",2024-08-01
9,FOX,Kamala Harris,The Vice President,989.43,"channel=""FOX"" AND text=""The Vice President""",2024-09-01
10,FOX,Kamala Harris,The Vice President,96,"channel=""FOX"" AND text=""The Vice President""",2024-10-01
7,FOX,Kamala Harris,Vice President Harris,445.573,"channel=""FOX"" AND text=""Vice President Harris""",2024-07-01
8,FOX,Kamala Harris,Vice President Harris,1139.846,"channel=""FOX"" AND text=""Vice President Harris""",2024-08-01
9,FOX,Kamala Harris,Vice President Harris,1123.502,"channel=""FOX"" AND text=""Vice President Harris""",2024-09-01
10,FOX,Kamala Harris,Vice President Harris,94,"channel=""FOX"" AND text=""Vice President Harris""",2024-10-01
7,FOX,Kamala Harris,Vice President Kamala Harris,295,"channel=""FOX"" AND text=""Vice President Kamala Harris""",2024-07-01
8,FOX,Kamala Harris,Vice President Kamala Harris,637.543,"channel=""FOX"" AND text=""Vice President Kamala Harris""",2024-08-01
9,FOX,Kamala Harris,Vice President Kamala Harris,527,"channel=""FOX"" AND text=""Vice President Kamala Harris""",2024-09-01
10,FOX,Kamala Harris,Vice President Kamala Harris,49,"channel=""FOX"" AND text=""Vice President Kamala Harris""",2024-10-01
7,FOX,Kamala Harris,VP Harris,32,"channel=""FOX"" AND text=""VP Harris""",2024-07-01
8,FOX,Kamala Harris,VP Harris,73,"channel=""FOX"" AND text=""VP Harris""",2024-08-01
9,FOX,Kamala Harris,VP Harris,36,"channel=""FOX"" AND text=""VP Harris""",2024-09-01
10,FOX,Kamala Harris,VP Harris,1,"channel=""FOX"" AND text=""VP Harris""",2024-10-01
7,FOX,Kamala Harris,Kamala,1437.814,"channel=""FOX"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-07-01
8,FOX,Kamala Harris,Kamala,4174.369,"channel=""FOX"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-08-01
9,FOX,Kamala Harris,Kamala,2945.179,"channel=""FOX"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-09-01
10,FOX,Kamala Harris,Kamala,296.382,"channel=""FOX"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-10-01
7,FOX,Kamala Harris,Harris,2188.818,"channel=""FOX"" AND text=""Harris \ (Kamala | President) // 2""",2024-07-01
8,FOX,Kamala Harris,Harris,6720.428,"channel=""FOX"" AND text=""Harris \ (Kamala | President) // 2""",2024-08-01
9,FOX,Kamala Harris,Harris,5890.801,"channel=""FOX"" AND text=""Harris \ (Kamala | President) // 2""",2024-09-01
10,FOX,Kamala Harris,Harris,748.285,"channel=""FOX"" AND text=""Harris \ (Kamala | President) // 2""",2024-10-01
7,FOX,Kamala Harris,Kamala Harris,3490.227,"channel=""FOX"" AND text=""Kamala Harris \ President :: 2""",2024-07-01
8,FOX,Kamala Harris,Kamala Harris,8311.296,"channel=""FOX"" AND text=""Kamala Harris \ President :: 2""",2024-08-01
9,FOX,Kamala Harris,Kamala Harris,6262.773,"channel=""FOX"" AND text=""Kamala Harris \ President :: 2""",2024-09-01
10,FOX,Kamala Harris,Kamala Harris,694,"channel=""FOX"" AND text=""Kamala Harris \ President :: 2""",2024-10-01
7,CNN,Kamala Harris,The Vice President,1176.98,"channel=""CNN"" AND text=""The Vice President""",2024-07-01
8,CNN,Kamala Harris,The Vice President,2060.523,"channel=""CNN"" AND text=""The Vice President""",2024-08-01
9,CNN,Kamala Harris,The Vice President,1509.032,"channel=""CNN"" AND text=""The Vice President""",2024-09-01
10,CNN,Kamala Harris,The Vice President,172.274,"channel=""CNN"" AND text=""The Vice President""",2024-10-01
7,CNN,Kamala Harris,Vice President Harris,1214,"channel=""CNN"" AND text=""Vice President Harris""",2024-07-01
8,CNN,Kamala Harris,Vice President Harris,1946,"channel=""CNN"" AND text=""Vice President Harris""",2024-08-01
9,CNN,Kamala Harris,Vice President Harris,1392.003,"channel=""CNN"" AND text=""Vice President Harris""",2024-09-01
10,CNN,Kamala Harris,Vice President Harris,126,"channel=""CNN"" AND text=""Vice President Harris""",2024-10-01
7,CNN,Kamala Harris,Vice President Kamala Harris,690,"channel=""CNN"" AND text=""Vice President Kamala Harris""",2024-07-01
8,CNN,Kamala Harris,Vice President Kamala Harris,984.717,"channel=""CNN"" AND text=""Vice President Kamala Harris""",2024-08-01
9,CNN,Kamala Harris,Vice President Kamala Harris,695.655,"channel=""CNN"" AND text=""Vice President Kamala Harris""",2024-09-01
10,CNN,Kamala Harris,Vice President Kamala Harris,71,"channel=""CNN"" AND text=""Vice President Kamala Harris""",2024-10-01
7,CNN,Kamala Harris,VP Harris,7,"channel=""CNN"" AND text=""VP Harris""",2024-07-01
8,CNN,Kamala Harris,VP Harris,32.639,"channel=""CNN"" AND text=""VP Harris""",2024-08-01
9,CNN,Kamala Harris,VP Harris,6,"channel=""CNN"" AND text=""VP Harris""",2024-09-01
10,CNN,Kamala Harris,VP Harris,1,"channel=""CNN"" AND text=""VP Harris""",2024-10-01
7,CNN,Kamala Harris,Kamala,159.663,"channel=""CNN"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-07-01
8,CNN,Kamala Harris,Kamala,750.636,"channel=""CNN"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-08-01
9,CNN,Kamala Harris,Kamala,516.902,"channel=""CNN"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-09-01
10,CNN,Kamala Harris,Kamala,68,"channel=""CNN"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-10-01
7,CNN,Kamala Harris,Harris,3644.852,"channel=""CNN"" AND text=""Harris \ (Kamala | President) // 2""",2024-07-01
8,CNN,Kamala Harris,Harris,8731.197,"channel=""CNN"" AND text=""Harris \ (Kamala | President) // 2""",2024-08-01
9,CNN,Kamala Harris,Harris,6090.834,"channel=""CNN"" AND text=""Harris \ (Kamala | President) // 2""",2024-09-01
10,CNN,Kamala Harris,Harris,697.522,"channel=""CNN"" AND text=""Harris \ (Kamala | President) // 2""",2024-10-01
7,CNN,Kamala Harris,Kamala Harris,2737.473,"channel=""CNN"" AND text=""Kamala Harris \ President :: 2""",2024-07-01
8,CNN,Kamala Harris,Kamala Harris,6579.783,"channel=""CNN"" AND text=""Kamala Harris \ President :: 2""",2024-08-01
9,CNN,Kamala Harris,Kamala Harris,4425.846,"channel=""CNN"" AND text=""Kamala Harris \ President :: 2""",2024-09-01
10,CNN,Kamala Harris,Kamala Harris,638.905,"channel=""CNN"" AND text=""Kamala Harris \ President :: 2""",2024-10-01
7,MSNBC,Kamala Harris,The Vice President,1298.474,"channel=""MSNBC"" AND text=""The Vice President""",2024-07-01
8,MSNBC,Kamala Harris,The Vice President,2305.948,"channel=""MSNBC"" AND text=""The Vice President""",2024-08-01
9,MSNBC,Kamala Harris,The Vice President,1552.616,"channel=""MSNBC"" AND text=""The Vice President""",2024-09-01
10,MSNBC,Kamala Harris,The Vice President,233.291,"channel=""MSNBC"" AND text=""The Vice President""",2024-10-01
7,MSNBC,Kamala Harris,Vice President Harris,1650.523,"channel=""MSNBC"" AND text=""Vice President Harris""",2024-07-01
8,MSNBC,Kamala Harris,Vice President Harris,2661.72,"channel=""MSNBC"" AND text=""Vice President Harris""",2024-08-01
9,MSNBC,Kamala Harris,Vice President Harris,1984.379,"channel=""MSNBC"" AND text=""Vice President Harris""",2024-09-01
10,MSNBC,Kamala Harris,Vice President Harris,232,"channel=""MSNBC"" AND text=""Vice President Harris""",2024-10-01
7,MSNBC,Kamala Harris,Vice President Kamala Harris,579.625,"channel=""MSNBC"" AND text=""Vice President Kamala Harris""",2024-07-01
8,MSNBC,Kamala Harris,Vice President Kamala Harris,892.795,"channel=""MSNBC"" AND text=""Vice President Kamala Harris""",2024-08-01
9,MSNBC,Kamala Harris,Vice President Kamala Harris,655.148,"channel=""MSNBC"" AND text=""Vice President Kamala Harris""",2024-09-01
10,MSNBC,Kamala Harris,Vice President Kamala Harris,71,"channel=""MSNBC"" AND text=""Vice President Kamala Harris""",2024-10-01
7,MSNBC,Kamala Harris,VP Harris,60,"channel=""MSNBC"" AND text=""VP Harris""",2024-07-01
8,MSNBC,Kamala Harris,VP Harris,159.54,"channel=""MSNBC"" AND text=""VP Harris""",2024-08-01
9,MSNBC,Kamala Harris,VP Harris,99,"channel=""MSNBC"" AND text=""VP Harris""",2024-09-01
10,MSNBC,Kamala Harris,VP Harris,9,"channel=""MSNBC"" AND text=""VP Harris""",2024-10-01
7,MSNBC,Kamala Harris,Kamala,394.851,"channel=""MSNBC"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-07-01
8,MSNBC,Kamala Harris,Kamala,1100.544,"channel=""MSNBC"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-08-01
9,MSNBC,Kamala Harris,Kamala,395.957,"channel=""MSNBC"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-09-01
10,MSNBC,Kamala Harris,Kamala,40,"channel=""MSNBC"" AND (text=""Kamala \ Harris // 2"" OR text=""Kamala's"")",2024-10-01
7,MSNBC,Kamala Harris,Harris,2694.902,"channel=""MSNBC"" AND text=""Harris \ (Kamala | President) // 2""",2024-07-01
8,MSNBC,Kamala Harris,Harris,7447.977,"channel=""MSNBC"" AND text=""Harris \ (Kamala | President) // 2""",2024-08-01
