date,seconds,reference
2024-07-21,266,The Vice President
2024-07-22,410.641,The Vice President
2024-07-23,323,The Vice President
2024-07-24,295,The Vice President
2024-07-25,293,The Vice President
2024-07-26,343.833,The Vice President
2024-07-27,227,The Vice President
2024-07-28,211,The Vice President
2024-07-29,175,The Vice President
2024-07-30,185.98,The Vice President
2024-07-31,233,The Vice President
2024-08-01,222.38,The Vice President
2024-08-02,202,The Vice President
2024-08-03,197,The Vice President
2024-08-04,232.007,The Vice President
2024-08-05,197,The Vice President
2024-08-06,273.539,The Vice President
2024-08-07,195,The Vice President
2024-08-08,190,The Vice President
2024-08-09,141.682,The Vice President
2024-08-10,149.662,The Vice President
2024-08-11,134,The Vice President
2024-08-12,135.42,The Vice President
2024-08-13,93,The Vice President
2024-08-14,146,The Vice President
2024-08-15,184.164,The Vice President
2024-08-16,191,The Vice President
2024-08-17,112.003,The Vice President
2024-08-18,200.607,The Vice President
2024-08-19,191.055,The Vice President
2024-08-20,133,The Vice President
2024-08-21,110.771,The Vice President
2024-08-22,178.443,The Vice President
2024-08-23,246.916,The Vice President
2024-08-24,128,The Vice President
2024-08-25,123,The Vice President
2024-08-26,161,The Vice President
2024-08-27,153,The Vice President
2024-08-28,199,The Vice President
2024-08-29,299.587,The Vice President
2024-08-30,221,The Vice President
2024-08-31,128.057,The Vice President
2024-09-01,111.418,The Vice President
2024-09-02,151,The Vice President
2024-09-03,125.759,The Vice President
2024-09-04,91,The Vice President
2024-09-05,124.88,The Vice President
2024-09-06,104,The Vice President
2024-09-07,119.454,The Vice President
2024-09-08,214.125,The Vice President
2024-09-09,204.574,The Vice President
2024-09-10,294.701,The Vice President
2024-09-11,196,The Vice President
2024-09-12,157,The Vice President
2024-09-13,182,The Vice President
2024-09-14,142.792,The Vice President
2024-09-15,142,The Vice President
2024-09-16,103,The Vice President
2024-09-17,91,The Vice President
2024-09-18,101,The Vice President
2024-09-19,125.399,The Vice President
2024-09-20,196.179,The Vice President
2024-09-21,113,The Vice President
2024-09-22,75,The Vice President
2024-09-23,118,The Vice President
2024-09-24,110.797,The Vice President
2024-09-25,125,The Vice President
2024-09-26,83,The Vice President
2024-09-27,103,The Vice President
2024-09-28,112,The Vice President
2024-09-29,126,The Vice President
2024-09-30,108,The Vice President
2024-10-01,112,The Vice President
2024-10-02,150.291,The Vice President
2024-10-03,152,The Vice President
2024-10-04,87.274,The Vice President
2024-10-05,0,The Vice President
2024-07-21,374,Vice President Harris
2024-07-22,466.606,Vice President Harris
2024-07-23,409.573,Vice President Harris
2024-07-24,272.917,Vice President Harris
2024-07-25,297,Vice President Harris
2024-07-26,329,Vice President Harris
2024-07-27,265,Vice President Harris
2024-07-28,227,Vice President Harris
2024-07-29,222,Vice President Harris
2024-07-30,216,Vice President Harris
2024-07-31,231,Vice President Harris
2024-08-01,251,Vice President Harris
2024-08-02,191,Vice President Harris
2024-08-03,149,Vice President Harris
2024-08-04,156,Vice President Harris
2024-08-05,191.956,Vice President Harris
2024-08-06,285,Vice President Harris
2024-08-07,177,Vice President Harris
2024-08-08,177,Vice President Harris
2024-08-09,168,Vice President Harris
2024-08-10,146.89,Vice President Harris
2024-08-11,146.01,Vice President Harris
2024-08-12,146.94,Vice President Harris
2024-08-13,127,Vice President Harris
2024-08-14,185,Vice President Harris
2024-08-15,249.527,Vice President Harris
2024-08-16,201,Vice President Harris
2024-08-17,175.641,Vice President Harris
2024-08-18,289,Vice President Harris
2024-08-19,276,Vice President Harris
2024-08-20,207,Vice President Harris
2024-08-21,190,Vice President Harris
2024-08-22,199,Vice President Harris
2024-08-23,236,Vice President Harris
2024-08-24,144,Vice President Harris
2024-08-25,123,Vice President Harris
2024-08-26,147,Vice President Harris
2024-08-27,135,Vice President Harris
2024-08-28,186,Vice President Harris
2024-08-29,178,Vice President Harris
2024-08-30,200.602,Vice President Harris
2024-08-31,113,Vice President Harris
2024-09-01,171,Vice President Harris
2024-09-02,287.663,Vice President Harris
2024-09-03,212.329,Vice President Harris
2024-09-04,113.743,Vice President Harris
2024-09-05,94,Vice President Harris
2024-09-06,99.644,Vice President Harris
2024-09-07,110,Vice President Harris
2024-09-08,137,Vice President Harris
2024-09-09,190,Vice President Harris
2024-09-10,335,Vice President Harris
2024-09-11,363.82,Vice President Harris
2024-09-12,146.003,Vice President Harris
2024-09-13,151,Vice President Harris
2024-09-14,125,Vice President Harris
2024-09-15,113,Vice President Harris
2024-09-16,103,Vice President Harris
2024-09-17,110,Vice President Harris
2024-09-18,127,Vice President Harris
2024-09-19,115,Vice President Harris
2024-09-20,130,Vice President Harris
2024-09-21,90,Vice President Harris
2024-09-22,108.682,Vice President Harris
2024-09-23,142,Vice President Harris
2024-09-24,122,Vice President Harris
2024-09-25,163,Vice President Harris
2024-09-26,112,Vice President Harris
2024-09-27,115,Vice President Harris
2024-09-28,115,Vice President Harris
2024-09-29,132,Vice President Harris
